FraudFound_P,Age_Numeric,PolicyHolderAge_Numeric,VehiclePrice_Numeric,VehicleAge_Numeric,DaysPolicyAccident_Numeric,DaysPolicyClaim_Numeric,PastClaims_Numeric,NumSupplements_Numeric,AddressChangeClaim_Numeric,NumCars_Numeric,Deductible,DriverRating,WeekOfMonth,WeekOfMonthClaimed,Year,Driver_Vehicle_Age_Diff,PolicyHolder_Driver_Age_Diff,Days_Accident_to_Claim,Month_Numeric,MonthClaimed_Numeric,DayOfWeek_Numeric,DayOfWeekClaimed_Numeric,PoliceReportFiled_Binary,WitnessPresent_Binary,Has_Past_Claims,New_Vehicle,Young_Driver,High_Value_Vehicle,External_Agent,Is_Urban,Policy_Holder_Fault,Accident_Weekend,Claim_Weekend,Make,AccidentArea,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,AgentType,BasePolicy
0,21.0,28.0,80000,3,45.0,45.0,0,0.0,1.0,3.5,300,1,5,1,1994,18.0,7.0,0.0,12,1.0,3,2.0,0,0,0,0,1,1,1,1,1,0,0,Honda,Urban,Female,Single,Policy Holder,Sport - Liability,Sport,External,Liability
0,34.0,33.0,80000,6,45.0,45.0,0,0.0,0.0,1.0,400,4,3,4,1994,28.0,-1.0,0.0,1,1.0,3,1.0,1,0,0,0,0,1,1,1,1,0,0,Honda,Urban,Male,Single,Policy Holder,Sport - Collision,Sport,External,Collision
0,47.0,45.5,80000,7,45.0,45.0,1,0.0,0.0,1.0,400,3,5,2,1994,40.0,-1.5,0.0,10,11.0,5,4.0,0,0,1,0,0,1,1,1,1,0,0,Honda,Urban,Male,Married,Policy Holder,Sport - Collision,Sport,External,Collision
0,65.0,58.0,24500,10,45.0,45.0,1,7.0,0.0,1.0,400,2,2,1,1994,55.0,-7.0,0.0,6,7.0,6,5.0,1,0,1,0,0,0,1,0,0,1,0,Toyota,Rural,Male,Married,Third Party,Sedan - Liability,Sport,External,Liability
0,27.0,33.0,80000,5,45.0,45.0,0,0.0,0.0,1.0,400,1,5,2,1994,22.0,6.0,0.0,1,2.0,1,2.0,0,0,0,0,0,1,1,1,0,0,0,Honda,Urban,Female,Single,Third Party,Sport - Collision,Sport,External,Collision
0,20.0,23.0,80000,5,45.0,45.0,0,4.0,0.0,1.0,400,3,4,1,1994,15.0,3.0,0.0,10,11.0,5,3.0,0,0,0,0,1,1,1,1,0,0,0,Honda,Urban,Male,Single,Third Party,Sport - Collision,Sport,External,Collision
0,36.0,38.0,80000,7,45.0,45.0,1,1.5,0.0,1.0,400,1,1,3,1994,29.0,2.0,0.0,2,2.0,6,1.0,0,0,1,0,0,1,1,1,0,1,0,Honda,Urban,Male,Married,Third Party,Sport - Collision,Sport,External,Collision
0,39.0,16.5,80000,0,45.0,45.0,1,0.0,0.0,1.0,400,4,1,4,1994,39.0,-22.5,0.0,11,3.0,5,2.0,0,0,1,1,0,1,1,1,1,0,0,Honda,Urban,Male,Single,Policy Holder,Sport - Collision,Sport,External,Collision
0,30.0,33.0,80000,6,45.0,45.0,0,4.0,0.0,1.0,400,4,4,5,1994,24.0,3.0,0.0,12,12.0,6,3.0,0,1,0,0,0,1,1,1,1,1,0,Honda,Urban,Male,Single,Policy Holder,Sport - Collision,Sport,External,Collision
0,42.0,38.0,80000,10,45.0,45.0,3,4.0,0.0,1.0,400,1,3,3,1994,32.0,-4.0,0.0,4,4.0,2,3.0,0,0,1,0,0,1,1,1,1,0,0,Ford,Urban,Male,Married,Policy Holder,Utility - All Perils,Utility,External,All Perils
0,71.0,70.0,80000,10,45.0,45.0,0,0.0,0.0,1.0,400,3,2,3,1994,61.0,-1.0,0.0,3,3.0,7,3.0,0,0,0,0,0,1,1,1,1,1,0,Mazda,Urban,Male,Single,Policy Holder,Sedan - All Perils,Sedan,External,All Perils
0,52.0,45.5,24500,10,45.0,45.0,3,0.0,0.0,1.0,400,1,5,5,1994,42.0,-6.5,0.0,3,3.0,1,1.0,0,0,1,0,0,0,1,1,1,0,0,Honda,Urban,Male,Married,Policy Holder,Sedan - Liability,Sport,External,Liability
0,28.0,33.0,80000,7,45.0,45.0,1,0.0,0.0,1.0,400,1,3,3,1994,21.0,5.0,0.0,1,1.0,5,5.0,0,0,1,0,0,1,1,1,1,0,0,Ford,Urban,Male,Married,Policy Holder,Sedan - Liability,Sport,External,Liability
0,39.0,16.5,80000,0,45.0,45.0,0,0.0,0.0,1.0,400,3,5,1,1994,39.0,-22.5,0.0,1,2.0,5,3.0,0,0,0,1,0,1,1,0,0,0,0,Honda,Rural,Male,Single,Third Party,Sedan - Collision,Sedan,External,Collision
0,61.0,58.0,80000,10,45.0,45.0,0,0.0,0.0,1.0,400,1,5,1,1994,51.0,-3.0,0.0,1,2.0,1,4.0,0,0,0,0,0,1,1,1,1,0,0,Ford,Urban,Male,Married,Policy Holder,Sedan - Liability,Sport,External,Liability
0,38.0,38.0,80000,6,45.0,45.0,0,0.0,0.0,1.0,400,1,4,5,1994,32.0,0.0,0.0,8,8.0,2,1.0,0,0,0,0,0,1,1,1,1,0,0,Ford,Urban,Male,Single,Policy Holder,Sedan - Liability,Sport,External,Liability
0,41.0,38.0,80000,7,45.0,45.0,0,0.0,0.0,1.0,400,4,4,1,1994,34.0,-3.0,0.0,4,5.0,4,3.0,0,0,0,0,0,1,1,1,1,0,0,Ford,Urban,Male,Married,Policy Holder,Sedan - All Perils,Sedan,External,All Perils
0,28.0,33.0,24500,7,45.0,45.0,0,1.5,0.0,1.0,400,1,5,1,1994,21.0,5.0,0.0,7,8.0,7,3.0,0,0,0,0,0,0,1,1,0,1,0,Chevrolet,Urban,Female,Married,Third Party,Sedan - Collision,Sedan,External,Collision
0,32.0,33.0,24500,7,45.0,45.0,1,0.0,0.0,1.0,400,1,4,5,1994,25.0,1.0,0.0,5,5.0,4,1.0,0,0,1,0,0,0,1,1,1,0,0,Pontiac,Urban,Male,Single,Policy Holder,Sedan - Liability,Sport,External,Liability
