CLAIM_STATUS,PREMIUM_AMOUNT,CLAIM_AMOUNT,AGE,TENURE,NO_OF_FAMILY_MEMBERS,INCIDENT_HOUR_OF_THE_DAY,CLAIM_TO_PREMIUM_RATIO,REPORT_DELAY_DAYS,POLICY_DURATION_DAYS,INSURANCE_TYPE,MARITAL_STATUS,EMPLOYMENT_STATUS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE
0,157.13,9000,54,89,3,4,57.27741360656781,5,1789,Health,Y,Y,L,Own,LI,Bachelor,Major Loss,Police,0,1,GA
0,141.71,26000,61,80,4,0,183.47329052289888,5,753,Property,N,Y,L,Rent,MI,Bachelor,Total Loss,Ambulance,1,0,AL
0,157.24,13000,47,68,6,19,82.67616382599847,5,231,Property,N,Y,L,Rent,MI,PhD,Total Loss,Police,0,1,CO
0,172.87,16000,36,16,7,12,92.55509920749697,5,1262,Health,Y,Y,L,Mortgage,MI,Masters,Minor Loss,Ambulance,0,0,GA
0,88.53,3000,51,16,2,18,33.88681802778719,5,3065,Travel,Y,Y,M,Rent,HI,Masters,Major Loss,Police,0,1,TN
0,87.02,63000,42,38,2,0,723.9715008044128,5,2700,Life,N,Y,M,Rent,MI,College,Major Loss,Ambulance,0,1,AZ
0,197.23,3000,61,20,7,10,15.210667748314151,5,2756,Health,Y,Y,L,Rent,MI,,Major Loss,Police,1,1,CT
0,83.77,8000,35,97,3,10,95.49958218932792,5,501,Motor,Y,Y,L,Rent,MI,High School,Total Loss,Police,0,1,FL
0,82.14,5000,27,118,4,22,60.871682493304114,5,329,Motor,N,Y,H,Mortgage,MI,Bachelor,Major Loss,Police,0,1,AZ
0,71.29,4000,61,119,4,4,56.10885117127226,5,1609,Travel,Y,Y,L,Rent,HI,PhD,Major Loss,,0,0,CA
0,61.45,92000,59,14,7,23,1497.1521562245728,5,417,Life,N,Y,M,Mortgage,MI,Masters,Major Loss,Ambulance,1,1,MD
1,101.15,8000,42,39,2,3,79.09045971329708,5,1399,Motor,Y,Y,H,Own,HI,High School,Major Loss,Ambulance,1,1,CT
0,157.95,11000,57,118,3,22,69.64229186451409,3,347,Health,Y,Y,M,Mortgage,LI,Bachelor,Major Loss,,0,1,KY
0,64.16,51000,31,118,7,0,794.8877805486285,5,110,Life,N,Y,L,Own,LI,High School,Total Loss,Ambulance,1,0,AK
0,6.76,700,55,90,6,11,103.55029585798817,5,1808,Mobile,Y,Y,L,Mortgage,HI,PhD,Major Loss,Police,1,1,CO
0,128.73,9000,57,48,2,22,69.91377301328362,5,3395,Motor,Y,Y,L,Rent,LI,,Minor Loss,Police,0,1,AR
0,114.42,39000,53,19,5,2,340.84950183534346,5,2218,Property,Y,Y,M,Mortgage,MI,Bachelor,Major Loss,Other,0,1,DC
0,157.18,40000,32,106,4,14,254.48530347372437,3,1885,Property,Y,Y,L,Mortgage,HI,Bachelor,Major Loss,Police,0,1,AL
0,116.55,8000,45,69,4,20,68.64006864006865,1,936,Motor,N,Y,H,Mortgage,MI,High School,Total Loss,Ambulance,0,1,MA
0,77.17,68000,59,119,5,1,881.1714396786316,5,2382,Life,Y,Y,M,Mortgage,MI,High School,Total Loss,,1,1,CO
0,155.23,17000,51,51,6,3,109.51491335437738,0,1786,Health,Y,Y,L,Own,MI,High School,Total Loss,Other,1,0,CO
0,9.15,300,51,101,4,18,32.78688524590164,2,1223,Mobile,N,Y,L,Rent,LI,Masters,Major Loss,Ambulance,0,1,DC
0,81.45,80000,44,49,4,7,982.1976672805401,1,3073,Life,N,Y,L,Rent,MI,Bachelor,Major Loss,Ambulance,1,1,CA
0,153.04,10000,64,81,7,22,65.34239414532149,3,1798,Property,Y,N,M,Rent,MI,,Total Loss,,0,0,CO
0,120.31,30000,47,60,5,10,249.3558307705095,5,3123,Property,Y,Y,L,Mortgage,MI,Bachelor,Minor Loss,Police,1,0,FL
0,87.09,37000,47,95,5,13,424.84785853714544,1,801,Property,Y,Y,H,Mortgage,MI,Bachelor,Minor Loss,Police,1,1,TN
0,130.78,17000,26,28,3,11,129.98929499923537,5,3058,Health,Y,Y,L,Rent,MI,PhD,Total Loss,Police,1,1,GA
0,119.4,19000,57,85,3,0,159.1289782244556,1,2166,Health,Y,Y,L,Own,HI,Masters,Minor Loss,Police,0,0,MA
0,159.2,37000,43,32,3,7,232.41206030150755,5,1360,Property,Y,N,L,Own,LI,Bachelor,Minor Loss,,0,1,MD
0,8.32,600,58,49,4,19,72.11538461538461,5,324,Mobile,N,Y,M,Own,HI,Bachelor,Major Loss,Police,0,1,CO
0,147.7,13000,25,117,7,3,88.01624915368991,5,3603,Health,N,Y,M,Rent,MI,PhD,Major Loss,Ambulance,1,0,CO
0,124.45,15000,41,106,4,22,120.53033346725593,5,1576,Property,N,Y,L,Rent,LI,Bachelor,Minor Loss,Ambulance,1,1,AL
0,51.18,27000,33,28,7,0,527.5498241500586,2,2616,Life,Y,Y,M,Mortgage,LI,PhD,Minor Loss,Police,1,1,KY
0,8.38,100,64,100,5,17,11.933174224343674,3,2923,Mobile,N,Y,L,Own,LI,Bachelor,Minor Loss,Other,1,1,CT
0,95.16,74000,26,51,2,13,777.6376628835645,5,2104,Life,N,Y,L,Mortgage,LI,College,Major Loss,,1,1,KY
0,66.73,69000,30,100,3,7,1034.017683200959,5,2645,Life,Y,Y,M,Mortgage,MI,Masters,Minor Loss,Ambulance,1,0,MD
0,8.27,300,57,104,4,8,36.27569528415962,5,1060,Mobile,Y,Y,L,Rent,MI,Bachelor,Minor Loss,Police,1,1,FL
0,50.3,18000,30,35,5,14,357.85288270377737,0,822,Life,Y,Y,M,Own,MI,High School,Total Loss,Police,0,1,AL
0,6.59,600,26,108,4,6,91.04704097116844,5,3066,Mobile,Y,Y,L,Rent,HI,Masters,Minor Loss,Ambulance,0,0,DC
0,11.04,600,62,108,5,0,54.34782608695652,5,3583,Mobile,Y,Y,H,Rent,MI,PhD,Total Loss,Other,0,1,CT
0,86.77,34000,55,118,5,2,391.84049786792673,3,2137,Life,N,Y,L,Mortgage,LI,High School,Major Loss,Ambulance,0,0,CT
0,89.11,2000,62,66,4,14,22.44417012680956,5,1780,Motor,Y,Y,H,Own,HI,Masters,Minor Loss,Police,0,1,AK
0,140.72,35000,57,93,3,0,248.7208641273451,5,3543,Property,Y,Y,L,Rent,HI,PhD,Total Loss,Police,1,1,AR
0,129.9,18000,32,55,6,18,138.56812933025404,5,665,Property,N,Y,L,Own,MI,High School,Minor Loss,Ambulance,1,1,OK
0,84.99,66000,39,51,3,16,776.5619484645252,3,2734,Life,Y,N,L,Own,MI,College,Minor Loss,Ambulance,1,1,AL
0,90.04,5000,51,105,2,5,55.53087516659262,1,2796,Travel,Y,Y,M,Rent,MI,High School,Minor Loss,,1,1,AR
1,117.72,7000,31,39,7,0,59.463132857628274,2,3456,Motor,N,Y,L,Rent,MI,High School,Major Loss,Police,0,0,CO
1,109.74,15000,31,42,4,2,136.6867140513942,0,1038,Property,Y,Y,L,Rent,LI,High School,Minor Loss,,0,1,VT
0,9.05,300,56,115,5,22,33.14917127071823,1,628,Mobile,N,Y,M,Mortgage,HI,Bachelor,Major Loss,Ambulance,1,1,DC
0,116.99,10000,51,88,7,13,85.47739123001966,3,1477,Motor,N,Y,M,Own,MI,College,Minor Loss,Ambulance,0,0,AZ
0,11.04,400,49,20,2,22,36.231884057971016,5,1886,Mobile,Y,N,H,Mortgage,MI,PhD,Total Loss,Ambulance,1,1,VT
0,6.63,600,64,59,7,22,90.49773755656109,5,1134,Mobile,Y,Y,L,Own,LI,Bachelor,Total Loss,Other,0,1,AL
0,82.82,9000,43,34,7,21,108.66940352571844,1,2559,Motor,N,Y,L,Mortgage,MI,College,Major Loss,Ambulance,0,0,AK
0,104.05,16000,41,106,7,5,153.77222489187892,2,995,Property,Y,N,L,Rent,MI,Bachelor,Minor Loss,Ambulance,1,1,GA
0,137.02,19000,46,49,3,9,138.66588819150488,5,3248,Property,Y,Y,M,Rent,MI,Bachelor,Total Loss,Ambulance,1,1,MD
0,75.99,3000,64,92,5,19,39.478878799842086,5,1872,Travel,Y,Y,L,Rent,HI,College,Total Loss,Ambulance,1,0,MA
0,92.71,2000,47,102,2,7,21.5726458850178,5,3609,Motor,N,Y,H,Mortgage,MI,High School,Total Loss,Police,1,1,CA
0,111.33,30000,36,15,2,14,269.46914578280786,1,193,Property,N,Y,L,Rent,LI,College,Total Loss,Ambulance,1,1,AK
0,8.51,300,48,16,2,21,35.252643948296125,5,331,Mobile,Y,Y,L,Mortgage,MI,MD,Major Loss,Ambulance,1,1,OK
0,97.08,2000,56,104,7,11,20.601565718994642,5,263,Travel,Y,Y,L,Own,LI,High School,Total Loss,,1,0,KY
0,155.05,16000,32,12,2,15,103.19251854240567,5,3553,Property,Y,Y,L,Rent,MI,,Minor Loss,Ambulance,1,0,VT
0,124.97,35000,42,14,7,21,280.06721613187165,5,672,Property,Y,Y,H,Mortgage,MI,Masters,Total Loss,Other,0,1,OK
0,151.81,15000,53,69,7,20,98.80772017653646,3,1099,Property,Y,N,L,Mortgage,HI,High School,Minor Loss,Ambulance,1,1,AZ
0,121.54,31000,40,108,5,22,255.06006253085403,0,2044,Property,N,Y,L,Own,HI,PhD,Major Loss,Police,1,1,MD
1,77.47,3000,39,16,7,12,38.72466761326965,0,1725,Travel,Y,Y,M,Rent,MI,Masters,Total Loss,Ambulance,0,0,MD
0,67.55,96000,28,13,5,13,1421.1695040710586,2,3386,Life,Y,Y,M,Mortgage,MI,High School,Major Loss,Police,1,1,CT
0,98.49,2000,37,96,5,5,20.30663011473246,5,782,Travel,N,Y,L,Own,HI,High School,Total Loss,Other,1,0,AK
0,11.21,400,53,54,6,10,35.68242640499554,0,2038,Mobile,Y,Y,M,Own,MI,Bachelor,Total Loss,Other,1,1,CT
0,156.2,3000,36,82,4,7,19.20614596670935,2,3396,Health,Y,N,L,Rent,MI,Bachelor,Total Loss,Police,0,0,CA
0,7.23,100,47,16,5,9,13.831258644536652,5,243,Mobile,N,Y,M,Own,MI,High School,Major Loss,Other,1,1,AR
0,11.63,400,33,51,2,1,34.393809114359414,3,480,Mobile,Y,Y,M,Mortgage,MI,Bachelor,Total Loss,Ambulance,1,0,AK
0,74.36,5000,56,40,3,5,67.24045185583647,1,2698,Travel,N,Y,L,Rent,MI,Bachelor,Total Loss,Police,0,1,CO
0,76.97,99000,52,108,7,3,1286.2154086007536,5,1793,Life,Y,Y,L,Mortgage,LI,Bachelor,Minor Loss,Ambulance,0,1,FL
0,6.15,300,60,81,3,9,48.78048780487805,0,1326,Mobile,Y,Y,M,Mortgage,LI,College,Total Loss,Ambulance,0,1,AL
0,78.34,52000,60,55,4,17,663.7732958897114,5,563,Life,Y,Y,L,Own,MI,Bachelor,Minor Loss,Ambulance,1,0,CO
0,67.88,59000,50,34,4,19,869.180907483795,5,2102,Life,Y,Y,H,Own,HI,Bachelor,Major Loss,Ambulance,1,1,CO
0,68.72,60000,32,85,7,5,873.1082654249127,5,3232,Life,Y,Y,H,Rent,MI,High School,Major Loss,,1,1,CA
0,86.31,39000,42,54,7,17,451.8595759471672,2,1087,Life,N,Y,M,Mortgage,HI,Bachelor,Major Loss,Ambulance,1,0,AR
0,100.14,7000,33,36,6,15,69.90213700818853,5,2461,Motor,Y,Y,L,Mortgage,MI,High School,Major Loss,Police,1,1,CA
0,81.79,4000,63,43,3,4,48.90573419733463,0,675,Travel,N,N,M,Rent,HI,MD,Major Loss,Ambulance,1,0,AR
0,88.05,79000,36,42,5,21,897.2174900624645,3,3123,Life,Y,Y,M,Rent,MI,High School,Minor Loss,Ambulance,1,0,GA
0,89.36,2000,36,29,3,10,22.381378692927484,5,2379,Travel,Y,Y,L,Mortgage,MI,MD,Major Loss,Ambulance,0,0,GA
0,95.04,14000,35,39,6,10,147.3063973063973,0,1577,Life,Y,Y,L,Mortgage,MI,Bachelor,Minor Loss,Ambulance,0,1,AK
0,11.57,100,44,107,3,13,8.64304235090752,1,1094,Mobile,N,Y,L,Rent,MI,College,Minor Loss,,0,0,FL
0,109.33,6000,50,69,6,0,54.87972194274216,5,1266,Motor,Y,Y,L,Rent,HI,Bachelor,Total Loss,,1,1,FL
0,126.63,1000,34,35,4,9,7.897022822395957,2,2146,Motor,Y,Y,L,Mortgage,HI,Bachelor,Major Loss,Police,0,1,CO
0,77.65,78000,25,75,5,16,1004.507405022537,1,3197,Life,Y,Y,M,Mortgage,MI,High School,Major Loss,Ambulance,1,0,CA
0,82.0,10000,61,21,5,4,121.95121951219512,5,3398,Motor,Y,Y,L,Own,MI,College,Minor Loss,,0,1,FL
0,102.63,9000,63,96,3,4,87.69365682548963,0,1132,Health,N,Y,L,Own,LI,Bachelor,Major Loss,,0,1,MA
0,199.63,16000,26,47,3,9,80.14827430746882,2,1024,Health,N,Y,L,Mortgage,MI,High School,Major Loss,Police,1,1,FL
0,62.02,1000,45,85,4,22,16.123831022250886,5,1136,Travel,N,Y,L,Mortgage,MI,MD,Minor Loss,Ambulance,0,1,OK
0,153.52,19000,28,108,6,9,123.76237623762376,5,485,Health,Y,Y,L,Rent,MI,High School,Minor Loss,Other,1,0,TN
0,116.27,7000,60,119,3,7,60.20469596628537,5,1814,Health,Y,Y,H,Own,HI,High School,Major Loss,Ambulance,1,1,CA
0,72.52,1000,47,94,6,10,13.78929950358522,1,1462,Travel,Y,Y,L,Mortgage,HI,High School,Total Loss,Police,1,1,OK
0,83.23,95000,55,71,6,6,1141.4153550402498,1,1023,Life,Y,Y,M,Own,HI,Masters,Major Loss,,0,1,MD
0,116.8,9000,55,64,5,13,77.05479452054794,3,2156,Motor,N,Y,L,Rent,HI,MD,Total Loss,Ambulance,0,1,AK
0,82.05,15000,35,75,2,8,182.81535648994517,1,2131,Life,Y,Y,M,Mortgage,LI,Bachelor,Total Loss,,0,0,DC
0,75.6,41000,45,80,4,7,542.3280423280423,3,1184,Life,Y,Y,M,Own,MI,Bachelor,Total Loss,Police,1,0,FL
0,9.14,300,49,44,3,10,32.82275711159737,3,1673,Mobile,N,Y,M,Rent,MI,High School,Minor Loss,Ambulance,1,1,GA
0,11.34,200,60,77,5,13,17.63668430335097,1,2074,Mobile,Y,Y,H,Rent,LI,High School,Major Loss,Ambulance,1,0,CA
0,89.76,31000,37,42,6,10,345.36541889483067,5,1583,Property,N,Y,M,Mortgage,HI,High School,Major Loss,Ambulance,1,1,AZ
0,136.47,1000,50,114,3,23,7.327617791455998,5,435,Motor,Y,N,L,Mortgage,MI,Bachelor,Total Loss,Ambulance,0,1,AZ
0,127.87,7000,39,72,5,8,54.743098459372796,5,1304,Motor,N,N,M,Own,MI,MD,Total Loss,,1,1,AL
0,60.87,3000,42,64,2,7,49.28536224741252,0,2716,Travel,Y,Y,L,Rent,MI,High School,Minor Loss,Police,1,0,DC
0,92.65,19000,61,117,5,1,205.07285483000538,5,2891,Life,N,Y,H,Mortgage,LI,Bachelor,Major Loss,Police,0,0,VT
0,96.95,50000,47,19,4,5,515.7297576070139,0,749,Life,N,Y,L,Mortgage,MI,Bachelor,Major Loss,Ambulance,1,1,CA
0,69.59,84000,47,94,2,12,1207.069981319155,3,3112,Life,Y,Y,M,Rent,LI,Masters,Minor Loss,Other,0,0,CA
0,94.33,20000,40,85,7,11,212.021626205873,1,3394,Property,Y,N,L,Mortgage,LI,High School,Major Loss,Ambulance,1,0,AL
0,71.65,78000,64,42,2,14,1088.6252616887648,5,2698,Life,Y,Y,M,Rent,LI,,Total Loss,Police,0,1,TN
